ItemID,Category,ItemName,Description,Price,Available,Alcoholic,SortOrder,ModifierGroups
TSND003,Sandwiches,Egg Salad Sandwich,"Choice of bread, condiments, and sandwich options",12,TRUE,FALSE,140,"[{""name"":""Bread Choice"",""type"":""single"",""required"":false,""options"":[""White"",""Wheat"",""Rye"",""Wrap"",""Bagel"",""Multi Grain"",""English Muffin"",""Gluten Free"",""Vegan Bun"",""Sourdough"",""No Bread""]},{""name"":""Toast Preference"",""type"":""single"",""required"":false,""options"":[""Not Toasted"",""Toasted"",""Lightly Toasted"",""Well Done""]},{""name"":""Condiments"",""type"":""multi"",""required"":false,""options"":[""Mayo O/S"",""Mayo Inside"",""Extra Mayo"",""Light Mayo"",""Ketchup O/S"",""Ketchup Inside"",""Extra Ketchup"",""Mustard O/S"",""Mustard Inside"",""Extra Mustard"",""1000 Island O/S"",""1000 Island Inside"",""Extra 1000 Island"",""Hot Sauce O/S""]},{""name"":""Sandwich Options"",""type"":""multi"",""required"":false,""options"":[""No Bacon"",""Extra Bacon"",""No Tomato"",""Add Onion""]}]"
TSND004,Sandwiches,Turkey Sandwich,"Choice of bread, cheese, condiments, and sandwich options",12,TRUE,FALSE,150,"[{""name"":""Bread Choice"",""type"":""single"",""required"":false,""options"":[""White"",""Wheat"",""Rye"",""Wrap"",""Bagel"",""Multi Grain"",""English Muffin"",""Gluten Free"",""Vegan Bun"",""Sourdough"",""No Bread""]},{""name"":""Toast Preference"",""type"":""single"",""required"":false,""options"":[""Not Toasted"",""Toasted"",""Lightly Toasted"",""Well Done""]},{""name"":""Cheese"",""type"":""single"",""required"":false,""options"":[""American Cheese"",""Cheddar Cheese"",""Swiss Cheese"",""Provolone Cheese"",""Feta Cheese"",""Blue Cheese"",""Parmesan Cheese"",""Pepper Jack"",""Mozzarella"",""Extra Cheese"",""No Cheese""]},{""name"":""Condiments"",""type"":""multi"",""required"":false,""options"":[""Mayo O/S"",""Mayo Inside"",""Extra Mayo"",""Light Mayo"",""Ketchup O/S"",""Ketchup Inside"",""Extra Ketchup"",""Mustard O/S"",""Mustard Inside"",""Extra Mustard"",""1000 Island O/S"",""1000 Island Inside"",""Extra 1000 Island"",""Hot Sauce O/S""]},{""name"":""Sandwich Options"",""type"":""multi"",""required"":false,""options"":[""No Bacon"",""Extra Bacon"",""No Tomato"",""Add Onion""]}]"
TSND005,Sandwiches,Ham and Cheese Sandwich,"Choice of bread, cheese, condiments, and sandwich options",12,TRUE,FALSE,160,"[{""name"":""Bread Choice"",""type"":""single"",""required"":false,""options"":[""White"",""Wheat"",""Rye"",""Wrap"",""Bagel"",""Multi Grain"",""English Muffin"",""Gluten Free"",""Vegan Bun"",""Sourdough"",""No Bread""]},{""name"":""Toast Preference"",""type"":""single"",""required"":false,""options"":[""Not Toasted"",""Toasted"",""Lightly Toasted"",""Well Done""]},{""name"":""Cheese"",""type"":""single"",""required"":false,""options"":[""American Cheese"",""Cheddar Cheese"",""Swiss Cheese"",""Provolone Cheese"",""Feta Cheese"",""Blue Cheese"",""Parmesan Cheese"",""Pepper Jack"",""Mozzarella"",""Extra Cheese"",""No Cheese""]},{""name"":""Condiments"",""type"":""multi"",""required"":false,""options"":[""Mayo O/S"",""Mayo Inside"",""Extra Mayo"",""Light Mayo"",""Ketchup O/S"",""Ketchup Inside"",""Extra Ketchup"",""Mustard O/S"",""Mustard Inside"",""Extra Mustard"",""1000 Island O/S"",""1000 Island Inside"",""Extra 1000 Island"",""Hot Sauce O/S""]},{""name"":""Sandwich Options"",""type"":""multi"",""required"":false,""options"":[""No Bacon"",""Extra Bacon"",""No Tomato"",""Add Onion""]}]"
TSAL001,Salads,Caesar Salad,"Crisp romaine lettuce, parmesan cheese, house-made croutons, Caesar dressing",8,TRUE,FALSE,200,"[{""name"":""Salad Options"",""type"":""multi"",""required"":false,""options"":[{""name"":""No Romaine""},{""name"":""Chopped""},{""name"":""No Cheese""},{""name"":""Dressing O/S""},{""name"":""No Croutons""},{""name"":""Extra Cheese""},{""name"":""Extra Croutons""}]},{""name"":""Protein Add-on"",""type"":""single"",""required"":false,""options"":[{""name"":""Add Chicken"",""priceDelta"":6},{""name"":""Add Shrimp"",""priceDelta"":10}]},{""name"":""Protein Style"",""type"":""single"",""required"":false,""options"":[""Blackened"",""Grilled""]}]"
TSAL002,Salads,Caesar Salad with Chicken,"Crisp romaine lettuce, parmesan cheese, house-made croutons, Caesar dressing, chicken",14,TRUE,FALSE,210,"[{""name"":""Salad Options"",""type"":""multi"",""required"":false,""options"":[{""name"":""No Romaine""},{""name"":""Chopped""},{""name"":""No Cheese""},{""name"":""Dressing O/S""},{""name"":""No Croutons""},{""name"":""Extra Cheese""},{""name"":""Extra Croutons""}]},{""name"":""Protein Style"",""type"":""single"",""required"":false,""options"":[""Blackened"",""Grilled""]}]"
TSAL003,Salads,Caesar Salad with Shrimp,"Crisp romaine lettuce, parmesan cheese, house-made croutons, Caesar dressing, five shrimp",18,TRUE,FALSE,220,"[{""name"":""Salad Options"",""type"":""multi"",""required"":false,""options"":[{""name"":""No Romaine""},{""name"":""Chopped""},{""name"":""No Cheese""},{""name"":""Dressing O/S""},{""name"":""No Croutons""},{""name"":""Extra Cheese""},{""name"":""Extra Croutons""}]},{""name"":""Protein Style"",""type"":""single"",""required"":false,""options"":[""Blackened"",""Grilled""]}]"
TSAL004,Salads,Eastpointe Fresh Garden Salad,"Baby mixed greens, romaine lettuce, julienne onions, tomatoes, cucumber, carrots, honey ranch dressing",8,TRUE,FALSE,230,[]
TSAL005,Salads,Eastpointe Fresh Garden Salad with Chicken,"Baby mixed greens, romaine lettuce, julienne onions, tomatoes, cucumber, carrots, honey ranch dressing, chicken",14,TRUE,FALSE,240,[]
TSAL006,Salads,Eastpointe Fresh Garden Salad with Shrimp,"Baby mixed greens, romaine lettuce, julienne onions, tomatoes, cucumber, carrots, honey ranch dressing, five shrimp",18,TRUE,FALSE,250,[]
TKID001,Kids Menu,Ham & Cheese,,6,TRUE,FALSE,300,[]
TKID002,Kids Menu,Turkey & Cheese,,6,TRUE,FALSE,310,[]
TKID003,Kids Menu,Peanut Butter & Jelly,,5,TRUE,FALSE,320,[]
TKID004,Kids Menu,Chicken Tenders,,6,TRUE,FALSE,330,[]
TKID005,Kids Menu,French Fries,,3,TRUE,FALSE,340,[]
TGO001,Grab and Go,Whole Fruits,"Banana, orange, or apple",2,TRUE,FALSE,400,[]
TGO002,Grab and Go,Assorted House-Made Cookies,,2,TRUE,FALSE,410,[]
TGO003,Grab and Go,Assorted Potato Chips,,2,TRUE,FALSE,420,[]
TGO004,Grab and Go,Assorted Candy / Health Bars,,4,TRUE,FALSE,430,[]
TSD001,Soft Drinks,Coca Cola,,2,TRUE,FALSE,500,[]
TSD002,Soft Drinks,Diet Coke,,2,TRUE,FALSE,510,[]
TSD003,Soft Drinks,Coke Zero,,2,TRUE,FALSE,520,[]
TSD004,Soft Drinks,Sprite,,2,TRUE,FALSE,530,[]
TSD005,Soft Drinks,Gatorade,,2,TRUE,FALSE,540,[]
TSD006,Soft Drinks,Water,,2,TRUE,FALSE,550,[]
TSD007,Soft Drinks,Arnold Palmer,,4,TRUE,FALSE,560,[]
TSD008,Soft Drinks,Diet Arnold Palmer,,2,TRUE,FALSE,570,[]
THS001,Hard Seltzer,White Claw,,8,TRUE,TRUE,600,[]
THS002,Hard Seltzer,High Noon,,8,TRUE,TRUE,610,[]
THS003,Hard Seltzer,Surfside,,9,TRUE,TRUE,620,[]
THS004,Hard Seltzer,Long Drink,,6,TRUE,TRUE,630,[]
THS005,Hard Seltzer,Nutrl,,9,TRUE,TRUE,640,[]
TLIQ001,Liquor,Tequila,,11,TRUE,TRUE,700,"[{""name"":""Drink Mixer"",""type"":""single"",""required"":false,""options"":[{""name"":""Diet Coke""},{""name"":""Coke""},{""name"":""Soda""},{""name"":""Tonic""},{""name"":""Sprite""},{""name"":""Ginger Ale""},{""name"":""Cranberry Juice""},{""name"":""Pineapple Juice""},{""name"":""Orange Juice""},{""name"":""Red Bull"",""priceDelta"":4}]}]"
TLIQ002,Liquor,Tito's Vodka,,12,TRUE,TRUE,710,"[{""name"":""Drink Mixer"",""type"":""single"",""required"":false,""options"":[{""name"":""Diet Coke""},{""name"":""Coke""},{""name"":""Soda""},{""name"":""Tonic""},{""name"":""Sprite""},{""name"":""Ginger Ale""},{""name"":""Cranberry Juice""},{""name"":""Pineapple Juice""},{""name"":""Orange Juice""},{""name"":""Red Bull"",""priceDelta"":4}]}]"
TLIQ003,Liquor,Jim Beam Whiskey,,11,TRUE,TRUE,720,"[{""name"":""Drink Mixer"",""type"":""single"",""required"":false,""options"":[{""name"":""Diet Coke""},{""name"":""Coke""},{""name"":""Soda""},{""name"":""Tonic""},{""name"":""Sprite""},{""name"":""Ginger Ale""},{""name"":""Cranberry Juice""},{""name"":""Pineapple Juice""},{""name"":""Orange Juice""},{""name"":""Red Bull"",""priceDelta"":4}]}]"
TLIQ004,Liquor,Bacardi Rum,,12,TRUE,TRUE,730,"[{""name"":""Drink Mixer"",""type"":""single"",""required"":false,""options"":[{""name"":""Diet Coke""},{""name"":""Coke""},{""name"":""Soda""},{""name"":""Tonic""},{""name"":""Sprite""},{""name"":""Ginger Ale""},{""name"":""Cranberry Juice""},{""name"":""Pineapple Juice""},{""name"":""Orange Juice""},{""name"":""Red Bull"",""priceDelta"":4}]}]"
TLIQ005,Liquor,Captain Morgan,,12,TRUE,TRUE,740,"[{""name"":""Drink Mixer"",""type"":""single"",""required"":false,""options"":[{""name"":""Diet Coke""},{""name"":""Coke""},{""name"":""Soda""},{""name"":""Tonic""},{""name"":""Sprite""},{""name"":""Ginger Ale""},{""name"":""Cranberry Juice""},{""name"":""Pineapple Juice""},{""name"":""Orange Juice""},{""name"":""Red Bull"",""priceDelta"":4}]}]"
TLIQ006,Liquor,Dewar's Scotch,,12,TRUE,TRUE,750,"[{""name"":""Drink Mixer"",""type"":""single"",""required"":false,""options"":[{""name"":""Diet Coke""},{""name"":""Coke""},{""name"":""Soda""},{""name"":""Tonic""},{""name"":""Sprite""},{""name"":""Ginger Ale""},{""name"":""Cranberry Juice""},{""name"":""Pineapple Juice""},{""name"":""Orange Juice""},{""name"":""Red Bull"",""priceDelta"":4}]}]"
TLIQ007,Liquor,Tanqueray Gin,,12,TRUE,TRUE,760,"[{""name"":""Drink Mixer"",""type"":""single"",""required"":false,""options"":[{""name"":""Diet Coke""},{""name"":""Coke""},{""name"":""Soda""},{""name"":""Tonic""},{""name"":""Sprite""},{""name"":""Ginger Ale""},{""name"":""Cranberry Juice""},{""name"":""Pineapple Juice""},{""name"":""Orange Juice""},{""name"":""Red Bull"",""priceDelta"":4}]}]"
TLIQ008,Liquor,Fireball,,13,TRUE,TRUE,770,"[{""name"":""Drink Mixer"",""type"":""single"",""required"":false,""options"":[{""name"":""Diet Coke""},{""name"":""Coke""},{""name"":""Soda""},{""name"":""Tonic""},{""name"":""Sprite""},{""name"":""Ginger Ale""},{""name"":""Cranberry Juice""},{""name"":""Pineapple Juice""},{""name"":""Orange Juice""},{""name"":""Red Bull"",""priceDelta"":4}]}]"
TBEER001,Beer,Budweiser,,6,TRUE,TRUE,800,[]
TBEER002,Beer,Bud Light,,6,TRUE,TRUE,810,[]
TBEER003,Beer,Coors Light,,6,TRUE,TRUE,820,[]
TBEER004,Beer,Corona Light,,6,TRUE,TRUE,830,[]
TBEER005,Beer,Miller Light,,6,TRUE,TRUE,840,[]
TBEER006,Beer,Michelob Ultra,,6,TRUE,TRUE,850,[]
TBEER007,Beer,Stella Artois,,6,TRUE,TRUE,860,[]
TBEER008,Beer,Fresh,,8,TRUE,TRUE,870,[]
TBEER009,Beer,Jai Alai,,8,TRUE,TRUE,880,[]
TSOUP001,Soups,3 Onion,Lunch · Vegetarian,6,TRUE,FALSE,1110,[]
TSOUP002,Soups,Black Bean,Lunch · Vegetarian,6,TRUE,FALSE,1120,[]
TSOUP003,Soups,Black Eyed Pea,Lunch · Vegetarian,6,TRUE,FALSE,1130,[]
TSOUP004,Soups,Broccoli Cheddar,Lunch · Vegetarian,6,TRUE,FALSE,1140,[]
TSOUP005,Soups,Butternut Bisque,Lunch · Vegetarian,6,TRUE,FALSE,1150,[]
TSOUP006,Soups,Carrot Ginger,Lunch · Vegetarian,6,TRUE,FALSE,1160,[]
TSOUP007,Soups,Celery Root & Parsnip,Lunch · Vegetarian,6,TRUE,FALSE,1170,[]
TSOUP008,Soups,Chicken Wild Rice,Lunch · Non-vegetarian,6,TRUE,FALSE,1180,[]
TSOUP009,Soups,Curried Cauliflower,Dinner · Non-vegetarian,6,TRUE,FALSE,1190,[]
TSOUP010,Soups,Golden Mushroom,Dinner · Non-vegetarian,6,TRUE,FALSE,1200,[]
TSOUP011,Soups,Hungarian Mushroom,Lunch · Vegetarian,6,TRUE,FALSE,1210,[]
TSOUP012,Soups,Italian Wedding,Dinner · Non-vegetarian,6,TRUE,FALSE,1220,[]
TSOUP013,Soups,Lamb Harirra,Dinner · Non-vegetarian,6,TRUE,FALSE,1230,[]
TSOUP014,Soups,Lentil,Lunch · Vegetarian,6,TRUE,FALSE,1240,[]
TSOUP015,Soups,Lentil & Chickpea,Lunch · Vegetarian,6,TRUE,FALSE,1250,[]
TSOUP016,Soups,Manhattan Clam Chowder,Dinner / Lunch · Vegetarian status: Mixed · Served as both Lunch and Dinner on different days. Marked vegetarian on one date and not on another in the source document - please confirm.,6,TRUE,FALSE,1260,[]
TSOUP017,Soups,Middle Eastern Spiced Cauliflower,Lunch · Vegetarian,6,TRUE,FALSE,1270,[]
TSOUP018,Soups,Minestrone,Dinner · Non-vegetarian,6,TRUE,FALSE,1280,[]
TSOUP019,Soups,Mushroom Barley,Lunch · Non-vegetarian,6,TRUE,FALSE,1290,[]
TSOUP020,Soups,Navy Bean,Lunch · Vegetarian,6,TRUE,FALSE,1300,[]
TSOUP021,Soups,New England Clam Chowder,Dinner · Non-vegetarian,6,TRUE,FALSE,1310,[]
TSOUP022,Soups,Roasted Eggplant,Lunch · Vegetarian,6,TRUE,FALSE,1320,[]
TSOUP023,Soups,Roasted Tomato & Garlic,Lunch · Vegetarian,6,TRUE,FALSE,1330,[]
TSOUP024,Soups,Seafood Bisque,Dinner · Non-vegetarian,6,TRUE,FALSE,1340,[]
TSOUP025,Soups,She Crab Bisque,Dinner · Non-vegetarian,6,TRUE,FALSE,1350,[]
TSOUP026,Soups,Shrimp Bisque,Lunch · Non-vegetarian,6,TRUE,FALSE,1360,[]
TSOUP027,Soups,Spinach Lemon Orzo,Lunch · Vegetarian,6,TRUE,FALSE,1370,[]
TSOUP028,Soups,Split Pea & Ham,Lunch · Non-vegetarian,6,TRUE,FALSE,1380,[]
TSOUP029,Soups,Steakhouse Stew,Dinner · Non-vegetarian,6,TRUE,FALSE,1390,[]
TSOUP030,Soups,Sweet Pea & Mint,Lunch · Vegetarian,6,TRUE,FALSE,1400,[]
TSOUP031,Soups,Tomato + Quinoa,Lunch · Vegetarian,6,TRUE,FALSE,1410,[]
TSOUP032,Soups,Tomato Basil,Lunch · Vegetarian,6,TRUE,FALSE,1420,[]
TSOUP033,Soups,Tomato Cannellini Bean,Lunch · Vegetarian,6,TRUE,FALSE,1430,[]
TSOUP034,Soups,Tomato Florentine,Lunch · Vegetarian,6,TRUE,FALSE,1440,[]
TSOUP035,Soups,Turkey Wild Rice,Lunch · Non-vegetarian,6,TRUE,FALSE,1450,[]
TSOUP036,Soups,Tuscan White Bean,Lunch · Vegetarian,6,TRUE,FALSE,1460,[]
TSOUP037,Soups,Yellow Split Pea,Lunch · Vegetarian,6,TRUE,FALSE,1470,[]
