ItemID,Category,ItemName,Description,Price,Available,Alcoholic,SortOrder
L040,Lunch / Deli Board,Deli Board Sandwich,"Choice of tuna salad, chicken salad, egg salad, ham, roasted turkey, or roast beef",13,TRUE,FALSE,280
L050,Lunch / Handhelds,Golfer Grilled Cheese Sandwich,"American cheese, tomato, crispy bacon, toasted white bread",14,TRUE,FALSE,290
L051,Lunch / Handhelds,Florida Blackened Mahi Tacos,"Lime pico de gallo, queso fresco, avocado cilantro crema",22,TRUE,FALSE,300
L052,Lunch / Handhelds,BLT,"Bacon, lettuce and tomato, choice of bread",14,TRUE,FALSE,310
L053,Lunch / Handhelds,Eastpointe Club,"Fresh roasted turkey, lettuce, tomato, bacon, mayonnaise, toasted white bread",17,TRUE,FALSE,320
L054,Lunch / Handhelds,The Pointe Beef Burger,"10 oz Angus patty, lettuce, tomato, onion, toasted bun",22,TRUE,FALSE,330
L055,Lunch / Handhelds,Classic Reuben Sandwich,"Corned beef, Swiss, Thousand Island, sauerkraut, rye bread",20,TRUE,FALSE,340
L056,Lunch / Handhelds,Crispy Fried Chicken Sandwich,"Marinated fried chicken breast, pickle chips, brioche bun, Eastpointe honey mustard, lettuce, tomato, onion",19,TRUE,FALSE,350
L057,Lunch / Handhelds,Blackened Salmon Wrap,"Shaved lettuce, diced tomato, crispy bacon, spinach wrap, chipotle dressing",22,TRUE,FALSE,360
L060,Lunch / Pizza,12 inch Margherita Pizza,"Tomato, basil, mozzarella",16,TRUE,FALSE,370
L061,Lunch / Pizza,12 inch Cheese Pizza,Add pepperoni in POS if requested,15,TRUE,FALSE,380
L062,Lunch / Pizza,12 inch Vegetable Medley Pizza,"Cauliflower crust, mushroom, onion, broccoli, tomatoes, mozzarella, zucchini, yellow squash, basil",19,TRUE,FALSE,390
K001,Kids Menu,Mac and Cheese,,8,TRUE,FALSE,400
K002,Kids Menu,Chicken Tenders (3 pc),,8,TRUE,FALSE,410
K003,Kids Menu,Cheese or Pepperoni Flatbread,,9,TRUE,FALSE,420
K004,Kids Menu,Penne with Marinara,Add grilled chicken in POS if requested,8,TRUE,FALSE,430
K005,Kids Menu,2 Wagyu Beef and Cheese Sliders,,14,TRUE,FALSE,440
K006,Kids Menu,Hot Dog,,9,TRUE,FALSE,450
K007,Kids Menu,Grilled Cheese,,8,TRUE,FALSE,460
D001,Featured Cocktails,Mo’s Breeze,"Tito’s Vodka, lemonade, splash of cranberry",11,TRUE,TRUE,500
D002,Featured Cocktails,Tito’s Meehan,"Tito’s Vodka, soda water, splash of cranberry",11,TRUE,TRUE,510
D003,Featured Cocktails,White Wine Spritzer,"House wine, orange, lemon, lime, topped with soda water",10,TRUE,TRUE,520
D004,Featured Cocktails,The Pointe Sangria,House-made red wine and seasonal fruit,10,TRUE,TRUE,530
D010,Beer / Seltzer,Beer,All draft and bottled beer; staff posts exact brand in POS,5,TRUE,TRUE,540
D020,Wine,House Wine,House wine glass,8,TRUE,TRUE,550
N001,Non-Alcoholic,Bottled Water,,3,TRUE,FALSE,600
N002,Non-Alcoholic,Coke,,3,TRUE,FALSE,610
N003,Non-Alcoholic,Diet Coke,,3,TRUE,FALSE,620
N004,Non-Alcoholic,Sprite,,3,TRUE,FALSE,630
N005,Non-Alcoholic,Iced Tea,,4,TRUE,FALSE,640
N006,Non-Alcoholic,Lemonade,,4,TRUE,FALSE,650
N007,Non-Alcoholic,Arnold Palmer,,4,TRUE,FALSE,660
